"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.716735840E-1,-1.273300171E0,1.728363037E-1,2.674499512E0
8.741455080E-1,-1.313781738E0,1.962738037E-1,2.697937012E0
8.766479500E-1,-1.358520508E0,2.069244385E-1,2.718170166E0
8.791198730E-1,-1.402191162E0,2.154541016E-1,2.739486694E0
8.815917970E-1,-1.440551758E0,2.197113037E-1,2.756530762E0
8.840942390E-1,-1.481018066E0,2.165069580E-1,2.777832031E0
8.865661620E-1,-1.516174316E0,2.186431885E-1,2.802337646E0
8.890380860E-1,-1.555587769E0,2.111816406E-1,2.823638916E0
8.915405280E-1,-1.589675903E0,1.898803711E-1,2.838546753E0
8.940124510E-1,-1.628036499E0,1.526031494E-1,2.853469849E0
8.965148930E-1,-1.663192749E0,1.014709473E-1,2.873703003E0
8.989868170E-1,-1.689819336E0,5.778503418E-2,2.896072388E0
9.014587410E-1,-1.721771240E0,1.197814941E-2,2.912048340E0
9.039611820E-1,-1.750534058E0,-3.276062012E-2,2.932296753E0
9.064331060E-1,-1.779296875E0,-8.602905273E-2,2.953598022E0
9.089050300E-1,-1.804870605E0,-1.531372070E-1,2.975967407E0
9.114074710E-1,-1.829360962E0,-2.191772461E-1,3.005798340E0
